CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação e Ano/mês compet.
Período:Jan/2018-Set/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set"
"11 Rondônia";4304;4325;4343;4343;4334;4337;4437;4425;4425;4395;4396;4407;4392;4459;4524;4558;4558;4548;4558;4507;4514;4429;4429;4252;4259;4286;4320;4345;4354;4431;4512;4537;4547;4566;4569;4586;4537;4533;4594;4637;4624;4607;4593;4671;4691
"12 Acre";1452;1458;1459;1459;1459;1459;1459;1476;1476;1477;1426;1423;1412;1439;1443;1469;1490;1479;1483;1490;1478;1478;1476;1489;1484;1484;1498;1506;1559;1559;1602;1693;1677;1618;1613;1613;1623;1694;1710;1717;1659;1615;1601;1612;1585
"13 Amazonas";5829;5735;5716;5762;5786;5789;5791;5752;5755;5784;5743;5810;5756;5798;5801;5807;5794;5740;5539;5607;5618;5608;5660;5684;5684;5700;5785;5970;6074;5972;5932;5884;5884;5884;5755;5897;5837;5922;6048;5992;6030;6023;6031;6043;6058
"14 Roraima";941;941;934;1051;1052;1052;1052;1052;1069;1050;1050;1048;1048;1048;1048;1048;1048;1049;1067;1095;1085;1093;1093;1134;1133;1133;1213;1339;1515;1527;1527;1501;1490;1490;1490;1370;1553;1560;1510;1465;1217;1279;1277;1319;1319
"15 Pará";15320;15257;15196;15235;15264;15242;15222;15223;15068;14798;14866;14868;14869;14734;14710;14606;14579;14490;14102;14094;14199;14175;14199;14188;13670;13584;13802;14623;14614;14888;15102;15368;15321;15374;15283;15267;15371;15315;15298;15244;15184;15185;15109;15096;15189
"16 Amapá";1139;1139;1151;1151;1155;1184;1184;1179;1172;1130;1146;1146;1158;1158;1160;1139;1117;1065;1065;1055;1061;1092;1092;1092;1092;1098;1110;1181;1316;1266;1349;1274;1254;1182;1240;1226;1214;1240;1340;1411;1368;1362;1392;1399;1399
"17 Tocantins";2660;2670;2788;2806;2822;2878;2868;2868;2869;2819;2850;2889;2887;2936;2997;2991;3101;3101;3078;3078;3107;3114;3091;3053;3053;3072;3092;3092;3026;3016;2987;3022;3021;2940;2938;2998;2998;2998;3003;3008;3017;3017;3034;3090;3090
"21 Maranhão";14111;14120;14033;13972;13947;13956;14104;14125;14218;13882;13794;13792;13656;13663;13627;13665;13681;13691;13674;13668;13725;13706;13731;13766;13768;13778;13877;14098;14481;14818;14861;14892;14814;14767;14875;14889;14967;15004;15242;15290;15158;15234;15055;15046;14976
"22 Piauí";7611;7594;7598;7598;7600;7608;7507;7563;7559;7563;7602;7559;7561;7626;7620;7662;7614;7570;7475;7419;7422;7463;7445;7409;7463;7460;7532;7773;7995;8034;8040;7791;8032;8088;8036;8059;8025;8052;8056;8053;8051;8051;8024;8058;8064
"23 Ceará";17971;17960;17738;17902;18201;18296;18361;18393;18333;18379;18108;18094;18169;18154;18202;18233;18242;18237;18317;18387;18433;18448;18351;18466;18503;18510;18781;19042;19375;19207;19443;19583;19659;19771;19595;19580;19384;19396;19546;19792;19644;19617;19557;19682;19739
"24 Rio Grande do Norte";7477;7440;7435;7414;7447;7458;7466;7439;7441;7178;7172;7178;7335;7339;7339;7364;7344;7266;7290;7235;7235;7358;7317;7255;7191;7272;7407;7580;7685;7650;7815;7682;7668;7751;7779;7861;7987;7951;7977;7913;7801;7825;7892;7833;7863
"25 Paraíba";8562;8551;8447;8429;8452;8558;8554;8476;8366;8356;8430;8351;8312;8339;8335;8368;8303;8323;8305;8306;8251;8236;8120;8117;8182;8171;8292;8317;8317;8434;8525;8573;8577;8637;8657;8726;8882;8985;9005;9003;8974;8988;9077;9130;9103
"26 Pernambuco";21296;21258;21262;21109;21189;21195;21131;21250;21323;21159;21201;21288;21149;21111;21129;21199;21328;21016;21108;21125;21267;21399;21555;21466;20917;20961;21526;23093;23449;23433;23388;23323;23165;22991;22874;22917;22942;22933;22919;22810;22953;22860;22816;22880;22970
"27 Alagoas";6424;6503;6509;6155;6260;6295;6206;6057;5922;5583;5581;5581;5665;5663;5628;5662;5688;5688;5692;5726;5774;5792;5891;5891;5881;5891;5984;6040;6417;6592;6635;6654;6729;6716;6731;6531;6507;6545;6391;6401;6402;6452;6452;6468;6467
"28 Sergipe";3190;3201;3196;3151;3151;3143;3144;3118;3116;3116;3140;3140;3142;3142;3142;3065;3068;3068;3064;3134;3134;3154;3109;3170;3236;3212;3174;3438;3535;3587;3577;3558;3550;3481;3306;3293;3281;3208;3259;3285;3297;3313;3328;3364;3337
