CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade Não SUS por Unidade da Federação e Ano/mês compet.
Período:Jan/2018-Set/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set"
"11 Rondônia";993;1014;1038;1038;1008;1001;1101;1100;1133;1039;1039;1118;1118;1117;1116;1131;1109;1109;1119;1061;1075;1052;1027;887;899;926;998;931;876;929;970;1020;1017;1047;1050;1027;1027;1021;1030;1033;1038;1052;1052;1052;1052
"12 Acre";155;155;155;155;155;155;155;169;169;169;115;115;115;115;116;109;116;116;116;115;121;121;121;134;134;134;134;134;96;96;96;96;96;96;96;96;163;141;157;157;123;168;162;164;164
"13 Amazonas";806;805;805;825;825;825;825;800;800;825;813;871;812;871;874;874;869;822;622;713;713;713;765;785;785;786;869;786;804;804;758;758;758;779;771;808;742;805;805;805;806;806;806;835;916
"14 Roraima";85;85;85;81;82;82;82;82;82;62;62;60;60;60;60;60;60;61;61;61;61;65;65;65;69;69;69;114;148;88;88;87;87;87;87;127;155;147;66;62;62;62;62;104;104
"15 Pará";4528;4483;4446;4481;4529;4521;4517;4439;4458;4108;4192;4192;4197;4146;4264;4161;4124;4126;3833;3825;3782;3772;3768;3758;3323;3243;3311;3253;3112;3315;3388;3486;3474;3525;3532;3614;3622;3667;3572;3545;3555;3556;3459;3472;3524
"16 Amapá";178;170;170;170;170;170;144;144;144;102;133;133;140;140;142;142;150;114;114;114;114;145;145;145;145;145;145;145;145;114;121;122;122;122;122;122;122;122;122;122;122;122;122;124;122
"17 Tocantins";447;457;457;457;470;525;525;525;526;515;546;546;546;587;648;648;758;758;768;768;767;774;764;765;765;745;765;765;686;702;706;640;644;644;644;644;644;644;629;631;636;636;636;700;709
"21 Maranhão";1624;1686;1592;1564;1543;1543;1605;1605;1605;1429;1417;1415;1401;1413;1419;1466;1505;1508;1540;1540;1569;1563;1563;1580;1567;1574;1528;1473;1347;1352;1452;1449;1449;1536;1661;1661;1661;1696;1692;1785;1786;1773;1778;1810;1810
"22 Piauí";969;969;973;974;976;988;977;1017;1013;1046;1079;1040;1043;1052;1010;1052;1046;1046;993;916;916;916;916;892;993;990;999;1039;1112;1117;1120;867;1129;1129;1129;1129;1132;1152;1143;1154;1154;1154;1154;1167;1167
"23 Ceará";4132;4109;4015;4047;4346;4382;4442;4408;4379;4397;3948;3948;3929;3906;3927;4008;4001;4017;4103;4094;4091;4092;4120;4044;4151;4160;4220;4182;4193;4036;4199;4213;4260;4253;4235;4249;4142;4146;4178;4061;4072;4071;4072;4097;4317
"24 Rio Grande do Norte";1323;1323;1323;1324;1344;1347;1349;1329;1329;1114;1128;1129;1230;1230;1230;1251;1237;1177;1256;1217;1217;1310;1301;1286;1211;1292;1301;1366;1391;1391;1546;1446;1444;1455;1440;1445;1554;1550;1550;1514;1490;1518;1548;1528;1538
"25 Paraíba";1680;1678;1593;1596;1632;1708;1711;1638;1537;1495;1511;1433;1424;1478;1475;1510;1537;1550;1724;1725;1750;1766;1650;1650;1725;1722;1782;1824;1818;1811;1798;1838;1838;1887;1891;1894;1904;1935;1957;1947;1876;1878;1945;1983;1957
"26 Pernambuco";4496;4534;4540;4586;4684;4709;4719;4848;4979;4757;4846;4841;4719;4754;4759;5049;5089;4813;5069;5057;5252;5425;5596;5523;5218;5301;4906;5184;5179;5076;5265;5322;5415;5418;5414;5431;5438;5434;5423;5416;5490;5482;5505;5538;5653
"27 Alagoas";1542;1559;1559;1354;1442;1449;1430;1425;1334;982;982;982;1065;1064;1029;1054;1095;1095;1101;1101;1101;1113;1136;1136;1141;1084;1130;1073;1073;1067;1081;1110;1138;1130;1102;1107;1137;1137;1097;1093;1093;1093;1093;1109;1112
"28 Sergipe";797;833;833;788;788;785;786;783;783;783;807;807;797;797;797;797;802;802;802;853;853;853;794;853;856;836;861;882;858;858;863;865;862;866;866;852;875;868;868;868;868;884;896;895;895
"29 Bahia";6172;6284;6299;6198;6195;6140;6215;6225;6240;6082;5999;6059;6050;6071;6089;6016;6049;5981;6112;6111;6103;6087;6037;6026;6064;6013;6249;5875;5806;5769;5718;5685;5778;5753;5715;5772;5757;5769;5821;5818;5830;5813;5833;5853;5698
"31 Minas Gerais";13597;13549;13538;13572;13566;13635;13711;13722;13784;13712;13496;13499;13602;13625;13519;13676;13685;13892;13784;13849;13875;13954;14010;13990;14003;13786;13864;14103;14063;13936;13803;13733;13832;13671;13682;13684;13802;13920;13837;13781;13922;13876;13920;13824;13843
"32 Espírito Santo";2462;2465;2468;2468;2548;2379;2410;2418;2434;2437;2431;2429;2550;2582;2615;2590;2610;2746;2895;2906;2911;2954;2978;2936;2829;2829;2947;2938;2802;2773;2823;2886;2886;2828;2815;2697;2721;2717;2789;2769;2769;2791;2816;2826;2820
"33 Rio de Janeiro";14314;14846;15269;15118;15399;15230;15400;15712;15967;14017;14085;14230;14595;15429;15485;15592;15655;15865;15787;15633;15280;14822;14694;14114;11445;11628;12188;12188;12589;13130;13653;13214;13732;13838;13875;14249;14105;14096;14337;14238;14872;14458;14625;14603;14474
"35 São Paulo";38524;38682;38702;38767;38338;38122;38670;38330;38348;37945;38379;38506;38887;38397;38391;38427;38284;38262;38179;38205;38473;38529;38435;38582;37851;38098;37727;37919;37361;37316;37539;37929;37988;38111;38196;38187;37908;38023;37936;38155;38363;38514;38599;38367;38458
"41 Paraná";8074;8060;8062;7930;7968;7989;7913;8062;8066;8060;8119;8089;8013;8081;8109;8088;8054;8423;8487;8514;8795;8827;8829;8890;8915;9008;9020;8877;8892;8816;8793;8875;8777;8780;8689;8509;8509;8514;8526;8556;8502;7940;7939;8003;8123
"42 Santa Catarina";4298;4306;4298;4279;4303;4354;4378;4389;4377;4395;4343;4464;4405;4402;4482;4474;4389;4276;4277;4313;4332;4328;4404;4359;4376;4401;4393;4285;4271;4330;4277;4314;4340;4297;4305;4305;4282;4255;4288;4284;4323;4322;4321;4486;4508
"43 Rio Grande do Sul";9650;9661;9660;9645;9640;9625;9666;9633;9560;9478;9545;9539;9652;9780;9777;9743;9772;9771;9759;9825;9838;9879;9885;9846;9789;9757;9781;9611;9659;9647;9615;9594;9637;9493;9512;9489;9610;9433;9388;9436;9387;9365;9430;9451;9423
"50 Mato Grosso do Sul";2012;1992;2052;2052;2061;1963;1965;1960;1934;1914;1935;1943;1997;2006;1988;1992;1992;1992;1998;2035;1993;1982;1961;1915;1930;1919;1952;1945;1910;1914;1878;1889;1877;1869;1863;1869;1869;1869;1849;1849;1847;1837;1820;1836;1845
"51 Mato Grosso";1898;1913;1907;2014;2048;2000;1992;1992;1992;1993;1963;1963;1873;1888;1938;1898;1965;1964;2075;2031;2048;2048;2071;2061;2056;2043;2010;1939;1939;1919;1925;1841;1833;1826;1847;1848;1847;1841;1851;1892;1837;1856;1828;1848;1818
"52 Goiás";7047;7075;7057;7057;7117;7190;7089;6837;6946;6854;6683;6731;6722;6722;6806;6788;6763;6672;6693;6504;6567;6598;6873;6828;6918;6893;6843;6885;6807;6763;6846;6886;6865;6840;6818;6827;6837;6839;6931;7029;7021;7053;7117;7206;7168
"53 Distrito Federal";2577;2575;2585;2388;2381;2533;2609;2470;2334;2301;2424;2426;2673;2608;2681;2999;3034;2896;2955;2830;2802;2783;2783;2584;2668;2746;2886;2876;2841;2784;2751;2754;2810;2970;2994;3124;3105;3043;3046;3121;3131;3119;3142;3142;3133
"Total";134380;135268;135481;134928;135558;135350;136386;136062;136253;132011;132020;132508;133615;134321;134746;135595;135750;135854;136222;135916;136399;136471;136691;135634;131826;132128;132878;132592;131778;131853;133072;132919;134088;134250;134351;134766;134670;134784;134888;135121;135975;135199;135680;136023;136351
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
